policyNumber,status,firstName,lastName,phone,dateOfBirth,policyValue,agentNumber,agentStatus,carrier
0104230036,Active,BRUNO,ALMEIDA,351-888-4321,1989-03-11,22000,1015489,Active,AMERICAN AMICABLE
0104230036,Active,BRUNO,ALMEIDA,555-111-2222,1989-03-11,22000,1015489,Active,AMERICAN AMICABLE
0104230036,Active,BRUNO,ALMEIDA,351-888-4321,1991-01-01,22000,1015489,Active,AMERICAN AMICABLE
0104230036,Active,BRUNO,ALMEIDA,351-888-4321,1989-03-11,25000,1015489,Active,AMERICAN AMICABLE
0104230036,Active,BRUNO,ALMEIDA,351-888-4321,1989-03-11,22000,9999999,Inactive,AMERICAN AMICABLE
0104230037,Pending,TANIA,ESTEVES,713-457-8456,1992-08-22,35000,1015523,Pending,AMERICAN AMICABLE
0104230037,Pending,TANIA,ESTEVES,555-222-3333,1992-08-22,35000,1015523,Pending,AMERICAN AMICABLE
0104230037,Pending,TANIA,ESTEVES,713-457-8456,1994-01-01,35000,1015523,Active,AMERICAN AMICABLE
0104230037,Pending,TANIA,ESTEVES,713-457-8456,1992-08-22,40000,1015523,Active,AMERICAN AMICABLE
0104230037,Pending,TANIA,ESTEVES,713-457-8456,1992-08-22,35000,9999999,Active,AMERICAN AMICABLE
0104230038,Inactive,LUIZ,BATISTA,703-367-0001,1976-09-09,40000,1015537,Inactive,AMERICAN AMICABLE
0104230038,Inactive,LUIZ,BATISTA,555-333-4444,1976-09-09,40000,1015537,Inactive,AMERICAN AMICABLE
0104230038,Inactive,LUIZ,BATISTA,703-367-0001,1978-01-01,40000,1015537,Active,AMERICAN AMICABLE
0104230038,Inactive,LUIZ,BATISTA,703-367-0001,1976-09-09,45000,1015537,Active,AMERICAN AMICABLE
0104230038,Inactive,LUIZ,BATISTA,703-367-0001,1976-09-09,40000,9999999,Active,AMERICAN AMICABLE
0104230039,Active,CAROL,RAMOS,201-900-1122,1999-01-31,11000,1015542,Active,AMERICAN AMICABLE
0104230039,Active,CAROL,RAMOS,555-444-5555,1999-01-31,11000,1015542,Active,AMERICAN AMICABLE
0104230039,Active,CAROL,RAMOS,201-900-1122,2001-01-01,11000,1015542,Active,AMERICAN AMICABLE
0104230039,Active,CAROL,RAMOS,201-900-1122,1999-01-31,15000,1015542,Active,AMERICAN AMICABLE
0104230039,Active,CAROL,RAMOS,201-900-1122,1999-01-31,11000,9999999,Active,AMERICAN AMICABLE
0104230040,Pending,LARISSA,BRITO,442-510-3212,1980-05-19,29000,1015543,Pending,AMERICAN AMICABLE
0104230040,Pending,LARISSA,BRITO,555-555-6666,1980-05-19,29000,1015543,Pending,AMERICAN AMICABLE
0104230040,Pending,LARISSA,BRITO,442-510-3212,1982-01-01,29000,1015543,Active,AMERICAN AMICABLE
0104230040,Pending,LARISSA,BRITO,442-510-3212,1980-05-19,35000,1015543,Active,AMERICAN AMICABLE
0104230040,Pending,LARISSA,BRITO,442-510-3212,1980-05-19,29000,9999999,Active,AMERICAN AMICABLE
0104230041,Inactive,MARCOS,ROCHA,511-971-2311,1975-04-13,21500,1015548,Inactive,AMERICAN AMICABLE
0104230041,Inactive,MARCOS,ROCHA,555-666-7777,1975-04-13,21500,1015548,Inactive,AMERICAN AMICABLE
0104230041,Inactive,MARCOS,ROCHA,511-971-2311,1977-01-01,21500,1015548,Active,AMERICAN AMICABLE
0104230041,Inactive,MARCOS,ROCHA,511-971-2311,1975-04-13,25000,1015548,Active,AMERICAN AMICABLE
0104230041,Inactive,MARCOS,ROCHA,511-971-2311,1975-04-13,21500,9999999,Active,AMERICAN AMICABLE
0104230042,Pending,JOAO,DINIZ,850-222-3333,1963-12-23,91000,1015555,Pending,AMERICAN AMICABLE
0104230042,Pending,JOAO,DINIZ,555-777-8888,1963-12-23,91000,1015555,Pending,AMERICAN AMICABLE
0104230042,Pending,JOAO,DINIZ,850-222-3333,1965-01-01,91000,1015555,Active,AMERICAN AMICABLE
0104230042,Pending,JOAO,DINIZ,850-222-3333,1963-12-23,95000,1015555,Active,AMERICAN AMICABLE
0104230042,Pending,JOAO,DINIZ,850-222-3333,1963-12-23,91000,9999999,Active,AMERICAN AMICABLE
0104230043,Active,ANA,MIRANDA,454-998-1121,1985-08-03,32000,1015579,Active,AMERICAN AMICABLE
0104230043,Active,ANA,MIRANDA,555-888-9999,1985-08-03,32000,1015579,Active,AMERICAN AMICABLE
0104230043,Active,ANA,MIRANDA,454-998-1121,1987-01-01,32000,1015579,Active,AMERICAN AMICABLE
0104230043,Active,ANA,MIRANDA,454-998-1121,1985-08-03,35000,1015579,Active,AMERICAN AMICABLE
0104230043,Active,ANA,MIRANDA,454-998-1121,1985-08-03,32000,9999999,Active,AMERICAN AMICABLE
0104230044,Inactive,PEDRO,RAMALHO,309-456-7890,1977-02-26,67000,1015590,Inactive,AMERICAN AMICABLE
0104230044,Inactive,PEDRO,RAMALHO,555-999-0000,1977-02-26,67000,1015590,Inactive,AMERICAN AMICABLE
0104230044,Inactive,PEDRO,RAMALHO,309-456-7890,1979-01-01,67000,1015590,Active,AMERICAN AMICABLE
0104230044,Inactive,PEDRO,RAMALHO,309-456-7890,1977-02-26,70000,1015590,Active,AMERICAN AMICABLE
0104230044,Inactive,PEDRO,RAMALHO,309-456-7890,1977-02-26,67000,9999999,Active,AMERICAN AMICABLE
0104230045,Pending,OTAVIO,COELHO,703-291-7834,1970-10-12,34500,1015596,Pending,AMERICAN AMICABLE
0104230045,Pending,OTAVIO,COELHO,555-000-1111,1970-10-12,34500,1015596,Pending,AMERICAN AMICABLE
0104230045,Pending,OTAVIO,COELHO,703-291-7834,1972-01-01,34500,1015596,Active,AMERICAN AMICABLE
0104230045,Pending,OTAVIO,COELHO,703-291-7834,1970-10-12,40000,1015596,Active,AMERICAN AMICABLE
0104230045,Pending,OTAVIO,COELHO,703-291-7834,1970-10-12,34500,9999999,Active,AMERICAN AMICABLE
0104230046,Active,RAQUEL,MACEDO,502-553-2834,1998-04-22,72500,1015602,Active,AMERICAN AMICABLE
0104230046,Active,RAQUEL,MACEDO,555-111-2222,1998-04-22,72500,1015602,Active,AMERICAN AMICABLE
0104230046,Active,RAQUEL,MACEDO,502-553-2834,2000-01-01,72500,1015602,Active,AMERICAN AMICABLE
0104230046,Active,RAQUEL,MACEDO,502-553-2834,1998-04-22,75000,1015602,Active,AMERICAN AMICABLE
0104230046,Active,RAQUEL,MACEDO,502-553-2834,1998-04-22,72500,9999999,Active,AMERICAN AMICABLE
0104230047,Inactive,HENRIQUE,FONSECA,330-982-8873,1986-11-11,19500,1015633,Inactive,AMERICAN AMICABLE
0104230047,Inactive,HENRIQUE,FONSECA,555-222-3333,1986-11-11,19500,1015633,Inactive,AMERICAN AMICABLE
0104230047,Inactive,HENRIQUE,FONSECA,330-982-8873,1988-01-01,19500,1015633,Active,AMERICAN AMICABLE
0104230047,Inactive,HENRIQUE,FONSECA,330-982-8873,1986-11-11,25000,1015633,Active,AMERICAN AMICABLE
0104230047,Inactive,HENRIQUE,FONSECA,330-982-8873,1986-11-11,19500,9999999,Active,AMERICAN AMICABLE
0104230048,Pending,AMANDA,BASTOS,209-834-1122,1994-06-21,38400,1015644,Pending,AMERICAN AMICABLE
0104230048,Pending,AMANDA,BASTOS,555-333-4444,1994-06-21,38400,1015644,Pending,AMERICAN AMICABLE
0104230048,Pending,AMANDA,BASTOS,209-834-1122,1996-01-01,38400,1015644,Active,AMERICAN AMICABLE
0104230048,Pending,AMANDA,BASTOS,209-834-1122,1994-06-21,40000,1015644,Active,AMERICAN AMICABLE
0104230048,Pending,AMANDA,BASTOS,209-834-1122,1994-06-21,38400,9999999,Active,AMERICAN AMICABLE
0104230049,Active,RODRIGO,PEREIRA,321-767-1239,1982-08-17,92500,1015666,Active,AMERICAN AMICABLE
0104230049,Active,RODRIGO,PEREIRA,555-444-5555,1982-08-17,92500,1015666,Active,AMERICAN AMICABLE
0104230049,Active,RODRIGO,PEREIRA,321-767-1239,1984-01-01,92500,1015666,Active,AMERICAN AMICABLE
0104230049,Active,RODRIGO,PEREIRA,321-767-1239,1982-08-17,95000,1015666,Active,AMERICAN AMICABLE
0104230049,Active,RODRIGO,PEREIRA,321-767-1239,1982-08-17,92500,9999999,Active,AMERICAN AMICABLE
0104230050,Inactive,VIVIANE,BARBOSA,813-789-3172,1974-02-09,50700,1015650,Inactive,AMERICAN AMICABLE
0104230050,Inactive,VIVIANE,BARBOSA,555-555-6666,1974-02-09,50700,1015650,Inactive,AMERICAN AMICABLE
0104230050,Inactive,VIVIANE,BARBOSA,813-789-3172,1976-01-01,50700,1015650,Active,AMERICAN AMICABLE
0104230050,Inactive,VIVIANE,BARBOSA,813-789-3172,1974-02-09,55000,1015650,Active,AMERICAN AMICABLE
